Indicator1,Indicator2,Absolute_Correlation,Indicator1_Code,Indicator2_Code,Is_Highly_Correlated
Domestic credit to private sector by banks (% of GDP),Monetary Sector credit to private sector (% GDP),0.999755253405179,FD.AST.PRVT.GD.ZS,FM.AST.PRVT.GD.ZS,True
GDP deflator (base year varies by country),GDP deflator: linked series (base year varies by country),0.9996508568787572,NY.GDP.DEFL.ZS,NY.GDP.DEFL.ZS.AD,True
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.9968868116246329,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.ZS,True
"Inflation, GDP deflator (annual %)","Inflation, GDP deflator: linked series (annual %)",0.993176775082557,NY.GDP.DEFL.KD.ZG,NY.GDP.DEFL.KD.ZG.AD,True
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.9931019099219675,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.9922847739531986,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.OL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.9912496598929588,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.9911233972233834,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.990982854391409,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.OL.ZS,True
Net domestic credit (current LCU),Broad money (current LCU),0.990901953135867,FM.AST.DOMS.CN,FM.LBL.BMNY.CN,True
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0.9878980241967745,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.MA.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.9870770024631993,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.9850399131906222,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.OL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0.9825892025366568,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.FE.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0.9809337315027402,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.FE.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.9798053928600087,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.OL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9772398811580866,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.SO.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.9766692552725638,FX.OWN.TOTL.SO.ZS,FX.OWN.TOTL.ZS,True
