Indicator1,Indicator2,Absolute_Correlation,Indicator1_Code,Indicator2_Code,Is_Highly_Correlated
GDP deflator (base year varies by country),GDP deflator: linked series (base year varies by country),0.9999836796948111,NY.GDP.DEFL.ZS,NY.GDP.DEFL.ZS.AD,True
Domestic credit to private sector by banks (% of GDP),Monetary Sector credit to private sector (% GDP),0.9999461373356465,FD.AST.PRVT.GD.ZS,FM.AST.PRVT.GD.ZS,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.9970252757468567,FX.OWN.TOTL.ZS,FX.OWN.TOTL.OL.ZS,True
"Inflation, GDP deflator (annual %)","Inflation, GDP deflator: linked series (annual %)",0.9948309258050324,NY.GDP.DEFL.KD.ZG,NY.GDP.DEFL.KD.ZG.AD,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.9941826722893459,FX.OWN.TOTL.ZS,FX.OWN.TOTL.60.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.9938990507058577,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.60.ZS,True
Broad money (current LCU),Net domestic credit (current LCU),0.9936845184675793,FM.LBL.BMNY.CN,FM.AST.DOMS.CN,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0.9920614729071665,FX.OWN.TOTL.ZS,FX.OWN.TOTL.FE.ZS,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0.9918384228266064,FX.OWN.TOTL.ZS,FX.OWN.TOTL.MA.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.9913316513797651,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.OL.ZS,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.9895268402989827,FX.OWN.TOTL.ZS,FX.OWN.TOTL.40.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.9892372886729788,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.60.ZS,True
Claims on other sectors of the domestic economy (% of GDP),Domestic credit to private sector (% of GDP),0.9884107323278742,FS.AST.DOMO.GD.ZS,FS.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.9865562429484767,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.OL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.9854142028906053,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.40.ZS,True
Consumer price index (2010 = 100),Wholesale price index (2010 = 100),0.9839295829838585,FP.CPI.TOTL,FP.WPI.TOTL,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.9831619237489035,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.60.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.9828604837417118,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.40.ZS,True
Domestic credit to private sector (% of GDP),Monetary Sector credit to private sector (% GDP),0.9779178240210444,FS.AST.PRVT.GD.ZS,FM.AST.PRVT.GD.ZS,True
Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),0.9779016687315919,FS.AST.PRVT.GD.ZS,FD.AST.PRVT.GD.ZS,True
