Feature,Importance
TM.TAX.MANF.BR.ZS,0.14093779
SP.ADO.TFRT,0.07960517
TM.TAX.MRCH.BR.ZS,0.07493752
VC.IHR.PSRC.P5,0.025034728
per_si_allsi.cov_q1_tot,0.022160226
TM.VAL.MRCH.R3.ZS,0.017294083
IC.FRM.RSDV.ZS,0.015861861
SI.POV.SOPO,0.014742274
IC.CRD.PRVT.ZS,0.013405355
SH.DYN.AIDS.ZS,0.012590114
SH.XPD.GHED.CH.ZS,0.011672093
SH.HIV.INCD.ZS,0.011461699
SE.PRM.TCHR.FE.ZS,0.010286797
SH.PRV.SMOK.MA,0.009783174
per_lm_alllm.cov_q4_tot,0.00664372
SE.PRM.GINT.FE.ZS,0.005945374
NY.ADJ.DFOR.CD,0.005846137
SI.POV.DDAY,0.005762112
SL.TLF.ACTI.1524.FE.ZS,0.005320751
VC.IHR.PSRC.MA.P5,0.004814128
IS.AIR.GOOD.MT.K1,0.004795878
SL.SRV.EMPL.FE.ZS,0.0047154534
SI.POV.LMIC.GP,0.0046127886
SG.VAW.GOES.ZS,0.0044636857
SE.PRM.GINT.ZS,0.0043874616
TM.VAL.MRCH.R2.ZS,0.0043226713
EN.POP.DNST,0.004165918
EG.GDP.PUSE.KO.PP.KD,0.0040559224
SH.H2O.SMDW.UR.ZS,0.00399798
SH.MED.BEDS.ZS,0.0039117853
NY.GSR.NFCY.CN,0.003909855
EG.USE.CRNW.ZS,0.003900023
SI.POV.GAPS,0.0038553833
IC.BUS.NREG,0.0037378217
SE.PRM.OENR.MA.ZS,0.003690463
SM.POP.REFG.OR,0.0035178256
FP.CPI.TOTL,0.0034620564
SL.EMP.1524.SP.FE.NE.ZS,0.00345668
SH.STA.TRAF.P5,0.0033619886
IS.RRS.PASG.KM,0.0032770287
IC.FRM.METG.ZS,0.0032539829
GC.XPN.TOTL.GD.ZS,0.0032069976
SI.POV.UMIC.GP,0.0029789964
SE.PRM.REPT.ZS,0.0029681677
SH.MMR.DTHS,0.0029385232
SE.SEC.ENRL.VO,0.0029078452
SE.PRM.OENR.FE.ZS,0.0028193262
TX.VAL.MRCH.R2.ZS,0.0028078922
SH.HIV.1524.MA.ZS,0.0027691165
SL.UEM.1524.MA.NE.ZS,0.0027543812
SP.RUR.TOTL,0.0026961633
NV.AGR.TOTL.CN,0.002680346
SL.TLF.ACTI.FE.ZS,0.0026654773
SH.HIV.INCD.YG.P3,0.002630891
TM.TAX.TCOM.SM.AR.ZS,0.0026109845
ER.GDP.FWTL.M3.KD,0.002528429
SE.TER.CUAT.BA.MA.ZS,0.00249801
SH.HIV.INCD,0.0024020604
IC.IMP.TMDC,0.00239228
SL.EMP.MPYR.MA.ZS,0.0023402188
NY.GDP.FCST.KN,0.0022932389
NE.EXP.GNFS.ZS,0.0022407405
SL.TLF.CACT.FM.ZS,0.002232498
SH.UHC.OOPC.25.ZS,0.002191773
SH.DTH.NCOM.ZS,0.0021750475
IC.FRM.CMPU.ZS,0.0021327527
SP.POP.TOTL.MA.ZS,0.002097691
SL.EMP.SMGT.FE.ZS,0.002089834
AG.LND.CROP.ZS,0.0020883388
SH.HIV.INCD.YG,0.0020806587
SE.PRM.GINT.MA.ZS,0.0020568373
NE.EXP.GNFS.CN,0.0019999899
DC.DAC.LTUL.CD,0.0019604436
SH.DTH.1014,0.001926945
ER.H2O.FWST.ZS,0.0019073567
TX.QTY.MRCH.XD.WD,0.0018953608
SH.MLR.TRET.ZS,0.0018838845
IC.FRM.FEMO.ZS,0.0018696693
TM.TAX.TCOM.BR.ZS,0.0017983611
SP.UWT.TFRT,0.0017158127
SL.TLF.CACT.MA.NE.ZS,0.0017034163
TX.VAL.AGRI.ZS.UN,0.0016834321
IC.CRD.INFO.XQ,0.0016772597
SL.UEM.ADVN.MA.ZS,0.0016730895
SP.POP.BRTH.MF,0.0016638554
EN.GHG.TOT.ZG.AR5,0.0016585987
TX.VAL.INSF.ZS.WT,0.0015847846
per_si_allsi.ben_q1_tot,0.0015822946
GC.DOD.TOTL.CN,0.0015770553
SL.TLF.CACT.FE.ZS,0.001529757
SL.IND.EMPL.MA.ZS,0.0015190683
SH.STA.WAST.FE.ZS,0.001484655
ST.INT.RCPT.XP.ZS,0.0014499121
SE.ENR.PRIM.FM.ZS,0.0014196546
SP.POP.80UP.FE.5Y,0.0014121913
IC.REG.DURS,0.0013929415
TM.VAL.MMTL.ZS.UN,0.0013828138
EN.URB.MCTY.TL.ZS,0.0013790365
SE.PRM.ENRR.FE,0.0013781091
TX.VAL.ICTG.ZS.UN,0.0013551625
EN.GHG.N2O.IP.MT.CE.AR5,0.0013546539
IC.BUS.EASE.XQ,0.001349652
SE.PRM.UNER.FE,0.0013082414
SP.POP.TOTL.FE.ZS,0.0012743665
TX.VAL.FUEL.ZS.UN,0.0012563305
BM.TRF.PRVT.CD,0.0012386965
NE.CON.PRVT.ZS,0.0012344266
SL.SLF.0714.ZS,0.0012339674
SL.UEM.TOTL.MA.ZS,0.0012156119
NY.ADJ.DKAP.GN.ZS,0.0012145449
LP.LPI.TIME.XQ,0.0012070285
SL.TLF.0714.MA.ZS,0.001205509
SI.SPR.PGAP,0.0011869189
SE.SEC.ENRL.VO.FE.ZS,0.0011838495
CC.PER.RNK.UPPER,0.0011796153
EN.GHG.N2O.WA.MT.CE.AR5,0.0011794232
per_lm_alllm.cov_q5_tot,0.001176221
SE.SEC.UNER.LO.FE.ZS,0.0011545204
NV.IND.MANF.KD.ZG,0.0011526406
EN.FSH.THRD.NO,0.0011300823
NV.MNF.TXTL.ZS.UN,0.0011136034
TX.VAL.MRCH.R4.ZS,0.0011064854
EG.ELC.LOSS.ZS,0.0010943834
AG.LND.ARBL.ZS,0.0010821257
EN.GHG.CH4.WA.MT.CE.AR5,0.0010802901
NE.GDI.FTOT.ZS,0.0010747028
SP.DYN.TO65.MA.ZS,0.0010744068
IC.TAX.LABR.CP.ZS,0.0010684179
IS.SHP.GOOD.TU,0.0010673911
SL.EMP.MPYR.ZS,0.0010662914
TX.VAL.MRCH.R3.ZS,0.0010568013
VC.IDP.TOCV,0.001041583
SH.DTH.INJR.ZS,0.0010411318
IC.REG.PROC.MA,0.001035119
SH.STA.MALN.FE.ZS,0.0010250633
IT.NET.SECR,0.0010174736
EN.POP.EL5M.UR.ZS,0.0010169544
TM.VAL.TRVL.ZS.WT,0.0010157796
IT.MLT.MAIN,0.0010089679
DC.DAC.CZEL.CD,0.001000911
NV.MNF.CHEM.ZS.UN,0.0009953057
RQ.PER.RNK.UPPER,0.0009913462
DT.NFL.UNEC.CD,0.0009879911
FS.AST.DOMS.GD.ZS,0.0009802161
SP.POP.TOTL,0.0009771656
SH.STA.OWGH.FE.ZS,0.000974915
SP.DYN.AMRT.MA,0.0009684644
SE.ADT.LITR.MA.ZS,0.00096267357
ST.INT.XPND.MP.ZS,0.0009583139
TM.VAL.MRCH.R1.ZS,0.0009570054
SL.TLF.0714.SW.FE.ZS,0.0009530529
IC.ELC.DURS,0.0009500335
GC.TAX.TOTL.GD.ZS,0.0009383829
TX.VAL.MRCH.RS.ZS,0.0009373882
EG.ELC.RNWX.ZS,0.00093451043
NV.SRV.TOTL.ZS,0.0009322808
SP.POP.4549.MA.5Y,0.0009311131
IC.TAX.TOTL.CP.ZS,0.0009291995
SL.EMP.WORK.FE.ZS,0.0009041226
TM.VAL.OTHR.ZS.WT,0.0009041089
SH.UHC.OOPC.10.ZS,0.00088973896
SP.DYN.CDRT.IN,0.0008882387
SL.FAM.WORK.FE.ZS,0.0008876725
SE.PRM.OENR.ZS,0.00088442577
SE.SEC.TCAQ.FE.ZS,0.00087905553
RQ.EST,0.0008787052
TM.VAL.ICTG.ZS.UN,0.0008746402
ST.INT.TVLR.CD,0.0008671219
BM.GSR.TRAN.ZS,0.00086628756
SI.POV.MPWB,0.00085851946
SP.POP.65UP.MA.IN,0.0008568238
DT.TDS.DIMF.CD,0.00085597264
SL.EMP.TOTL.SP.FE.NE.ZS,0.00085205183
NV.AGR.TOTL.ZS,0.0008468015
SH.DYN.NCOM.FE.ZS,0.00084613374
SH.MED.SAOP.P5,0.0008461289
SL.TLF.0714.WK.MA.TM,0.0008431609
SH.UHC.FBPR.ZS,0.00083996786
NY.ADJ.DFOR.GN.ZS,0.00083937985
SP.RUR.TOTL.ZS,0.00082709314
IC.TAX.DURS,0.000825617
NV.AGR.TOTL.KN,0.00082362286
SH.DTH.COMM.ZS,0.00082064193
SL.EMP.VULN.MA.ZS,0.0007857477
FS.AST.CGOV.GD.ZS,0.000784865
EN.GHG.CH4.IP.MT.CE.AR5,0.0007835152
NY.GDP.NGAS.RT.ZS,0.00077851024
IQ.CPA.STRC.XQ,0.00077203504
SH.UHC.TOTR.ZS,0.0007662138
NY.GDP.MKTP.CN.AD,0.00076209026
ER.H2O.INTR.PC,0.0007574068
FX.OWN.TOTL.60.ZS,0.00075602543
SH.XPD.PVTD.CH.ZS,0.0007531292
BM.GSR.TRVL.ZS,0.0007526534
SH.STA.OWGH.MA.ZS,0.0007397522
TM.TAX.MRCH.BC.ZS,0.00073910825
TM.TAX.MANF.SM.AR.ZS,0.00073900906
AG.PRD.CROP.XD,0.00073872803
EN.ATM.PM25.MC.T2.ZS,0.0007380984
SH.XPD.PVTD.PC.CD,0.0007362133
SG.VAW.NEGL.ZS,0.00073464774
NY.ADJ.DMIN.CD,0.0007192434
AG.YLD.CREL.KG,0.0007159354
SP.POP.6064.FE.5Y,0.00070915936
GC.TAX.OTHR.RV.ZS,0.000708586
DT.NFL.UNCTAD.CD,0.0006979764
SH.ALC.PCAP.LI,0.00069352664
TM.VAL.MANF.ZS.UN,0.0006910633
TM.TAX.MRCH.WM.FN.ZS,0.0006896097
EN.GHG.CO2.AG.MT.CE.AR5,0.0006887316
IC.IMP.TMBC,0.0006885237
SL.UEM.NEET.ME.ZS,0.0006880725
SL.SRV.0714.FE.ZS,0.00068796554
SP.POP.3539.MA.5Y,0.0006868509
NY.GDS.TOTL.ZS,0.0006862056
RQ.STD.ERR,0.0006829592
SH.H2O.BASW.ZS,0.0006794217
SH.DYN.NCOM.ZS,0.0006748518
DT.DOD.DIMF.CD,0.00067300274
BX.TRF.CURR.CD,0.00066541677
CC.PER.RNK.LOWER,0.00066280924
SE.SEC.PRIV.ZS,0.0006603306
SM.POP.REFG,0.0006579002
CM.MKT.TRNR,0.0006563233
EN.GHG.N2O.AG.MT.CE.AR5,0.0006532332
IQ.SPI.PIL1,0.00064590294
IC.BUS.DFRN.XQ,0.000644309
SH.UHC.FBP1.ZS,0.0006435134
SH.STA.AIRP.P5,0.00064235553
SH.HIV.INCD.TL.P3,0.00064067676
IC.ELC.OUTG,0.0006402246
IC.CRD.PUBL.ZS,0.0006394341
IC.ELC.TIME,0.0006376636
SH.XPD.GHED.GE.ZS,0.0006374134
SE.PRM.TCAQ.ZS,0.0006339163
IC.BUS.DISC.XQ,0.000633527
SH.TBS.INCD,0.00062209956
DT.NFL.UNWN.CD,0.0006201937
TT.PRI.MRCH.XD.WD,0.0006190758
IC.LGL.DURS,0.000614079
NV.IND.MANF.KN,0.0006107218
AG.LND.AGRI.ZS,0.0006024859
SE.SEC.ENRL.TC.ZS,0.0005988437
SH.MED.NUMW.P3,0.000597476
SL.UEM.NEET.MA.ZS,0.0005926635
BM.GSR.ROYL.CD,0.0005898274
GC.XPN.INTP.RV.ZS,0.0005891083
IC.BUS.NDNS.ZS,0.00058746076
AG.LND.ARBL.HA.PC,0.0005814185
IQ.SPI.PIL5,0.0005792308
EG.USE.ELEC.KH.PC,0.00057837076
BM.GSR.MRCH.CD,0.0005771186
SE.SEC.NENR.MA,0.0005754418
SP.POP.80UP.MA.5Y,0.0005736957
NY.ADJ.AEDU.CD,0.00057344534
SI.SPR.PC40.ZG,0.00057122536
SH.HIV.INCD.TL,0.00056381396
CM.MKT.LDOM.NO,0.00056367915
SH.SGR.PROC.P5,0.00056093663
SE.PRM.CUAT.MA.ZS,0.0005585298
SL.SRV.0714.MA.ZS,0.00055726507
SH.PRV.SMOK.FE,0.00055640546
SH.PRG.ANEM,0.00055370154
SP.POP.GROW,0.0005528029
GC.REV.GOTR.CN,0.000552122
EN.GHG.CH4.ZG.AR5,0.0005516601
TM.VAL.FOOD.ZS.UN,0.00054615346
AG.PRD.CREL.MT,0.000545084
NY.GDP.PCAP.CN,0.00054420537
NE.GDI.FPRV.ZS,0.0005340893
EN.MAM.THRD.NO,0.0005322731
SE.PRM.ENRR.MA,0.0005279068
TM.VAL.FUEL.ZS.UN,0.00052722136
FS.AST.PRVT.GD.ZS,0.00052715495
GB.XPD.RSDV.GD.ZS,0.000526536
LP.LPI.LOGS.XQ,0.0005263744
GC.REV.SOCL.ZS,0.00052479014
EG.ELC.ACCS.UR.ZS,0.00052245654
