Feature,Importance
TM.TAX.MRCH.BR.ZS,0.13998197
SH.STA.ODFC.UR.ZS,0.08845479
SH.MED.SAOP.P5,0.058231723
SP.ADO.TFRT,0.05669631
per_si_allsi.cov_q1_tot,0.04502844
TM.TAX.MANF.BR.ZS,0.04502657
SH.DTH.COMM.ZS,0.01885094
EG.ELC.ACCS.RU.ZS,0.016455594
VC.IHR.PSRC.P5,0.014219261
SH.DTH.INJR.ZS,0.012786346
SI.POV.SOPO,0.012552906
TM.VAL.MRCH.R3.ZS,0.011597292
SH.PRV.SMOK.MA,0.010558838
SE.PRM.TCHR.FE.ZS,0.008146184
TX.VAL.MRCH.R3.ZS,0.007867506
IC.FRM.RSDV.ZS,0.007565117
AG.LND.IRIG.AG.ZS,0.0075176195
IC.CRD.PRVT.ZS,0.007017999
SH.HIV.INCD.TL.P3,0.0069948575
AG.LND.CROP.ZS,0.006712453
SL.TLF.CACT.FM.ZS,0.0064441278
TX.VAL.MRCH.R2.ZS,0.006441872
SH.HIV.INCD.ZS,0.006101551
AG.PRD.CROP.XD,0.0058429115
IS.AIR.GOOD.MT.K1,0.0057293307
SL.EMP.MPYR.MA.ZS,0.005609441
ER.GDP.FWTL.M3.KD,0.0054148855
VC.IHR.PSRC.MA.P5,0.0052525164
SE.PRM.OENR.ZS,0.005200755
SL.SRV.EMPL.FE.ZS,0.005085635
SH.DTH.1014,0.004893451
TM.VAL.MRCH.AL.ZS,0.004856905
SH.HIV.INCD.YG.P3,0.0048448835
SE.PRM.OENR.FE.ZS,0.004751352
SH.MED.BEDS.ZS,0.004620232
TX.VAL.MRCH.R4.ZS,0.0044657625
EN.GHG.N2O.ZG.AR5,0.0042897086
NV.AGR.TOTL.ZS,0.0042611063
TM.VAL.MANF.ZS.UN,0.004187851
IC.REG.DURS,0.004110499
ER.H2O.FWST.ZS,0.004058257
SP.POP.0014.FE.IN,0.0040391395
TM.QTY.MRCH.XD.WD,0.0039047447
SH.DYN.AIDS.ZS,0.0038430043
SI.POV.LMIC,0.0035730351
SM.POP.REFG.OR,0.0035543032
SE.PRM.GINT.ZS,0.0035064034
SH.XPD.GHED.CH.ZS,0.0034907607
AG.LND.ARBL.ZS,0.003311072
per_si_allsi.ben_q1_tot,0.0033093877
ER.MRN.PTMR.ZS,0.003245009
IC.REG.PROC.MA,0.0031079391
SH.STA.OWGH.MA.ZS,0.003055688
SH.DYN.AIDS.FE.ZS,0.0030051214
EN.GHG.CH4.IC.MT.CE.AR5,0.0029432152
SH.MMR.RISK.ZS,0.0029011755
SI.POV.GAPS,0.002885886
TM.VAL.MRCH.R2.ZS,0.0028184138
