Feature,Importance
SP.ADO.TFRT,0.12379675
TM.TAX.MANF.BR.ZS,0.053721465
TM.VAL.MRCH.R3.ZS,0.05278881
VC.IHR.PSRC.P5,0.04130497
SI.POV.SOPO,0.035400353
SH.HIV.1524.FE.ZS,0.024370434
TX.VAL.MRCH.R3.ZS,0.018533038
TX.VAL.MRCH.R2.ZS,0.017512165
SE.PRM.DURS,0.017194532
SH.HIV.INCD.ZS,0.016831331
SH.DYN.AIDS.ZS,0.015073498
per_si_allsi.ben_q1_tot,0.013237663
NE.CON.PRVT.CN.AD,0.012856174
SE.PRM.TCHR.FE.ZS,0.01001918
SH.STA.WAST.FE.ZS,0.009942352
DT.ODA.ALLD.KD,0.0098472545
SL.EMP.1524.SP.ZS,0.008380561
TX.VAL.ICTG.ZS.UN,0.008135752
SH.MMR.DTHS,0.007828684
CC.EST,0.0077790096
SP.DYN.CDRT.IN,0.0076644965
TM.VAL.MRCH.HI.ZS,0.0073356167
CC.PER.RNK,0.0066189766
IC.ELC.OUTG.ZS,0.0064677964
TM.VAL.MRCH.WR.ZS,0.006358986
NE.CON.PRVT.KN,0.005754688
NY.GDS.TOTL.CN,0.0055556963
SH.STA.WAST.MA.ZS,0.005450726
SL.SRV.0714.ZS,0.005315927
IQ.SPI.OVRL,0.005157881
SH.DTH.MORT,0.004863021
SH.STA.TRAF.P5,0.0048580985
BM.TRF.PRVT.CD,0.004647457
SH.STA.BRTW.ZS,0.004562727
SM.POP.TOTL.ZS,0.0044138446
NV.IND.TOTL.KN,0.0043586283
SL.AGR.EMPL.FE.ZS,0.0043388135
SE.PRM.OENR.MA.ZS,0.0041231066
SH.HIV.1524.MA.ZS,0.0040764958
AG.LND.IRIG.AG.ZS,0.004061441
SH.SVR.WAST.ZS,0.0040525985
SL.EMP.MPYR.MA.ZS,0.003996854
SH.STA.WAST.ZS,0.003974833
BX.GSR.GNFS.CD,0.003917485
SE.PRM.NENR.FE,0.0037686436
MS.MIL.MPRT.KD,0.0036595645
SL.TLF.0714.WK.ZS,0.0036079884
GC.DOD.TOTL.CN,0.0035894667
SL.EMP.MPYR.FE.ZS,0.0034882359
TM.VAL.MRCH.R2.ZS,0.003473767
AG.LND.CROP.ZS,0.003432957
SH.STA.AIRP.MA.P5,0.0034305197
SP.RUR.TOTL,0.003406
SP.POP.TOTL.FE.ZS,0.0033376846
SL.TLF.ACTI.1524.NE.ZS,0.0033213396
SE.PRM.GINT.FE.ZS,0.0032523663
SE.SEC.TCAQ.UP.MA.ZS,0.0030407428
SL.EMP.MPYR.ZS,0.0030350136
NV.IND.MANF.CN,0.002888272
IC.FRM.BNKS.ZS,0.002850901
TX.MNF.TECH.ZS.UN,0.002788341
EN.POP.DNST,0.0026888663
ST.INT.TVLX.CD,0.0026668746
SH.HIV.INCD.TL.P3,0.0025311117
TX.VAL.TECH.MF.ZS,0.002522339
GC.XPN.GSRV.ZS,0.0025189354
GC.XPN.TOTL.GD.ZS,0.0025080312
per_lm_alllm.cov_q5_tot,0.002495752
EN.URB.MCTY.TL.ZS,0.002460892
SH.TBS.INCD,0.0023998385
NY.ADJ.DMIN.GN.ZS,0.0023924462
TM.VAL.FOOD.ZS.UN,0.0023438234
SI.SPR.PGAP,0.002314757
SH.ANM.ALLW.ZS,0.0022779459
ER.GDP.FWTL.M3.KD,0.0022759489
NY.GNS.ICTR.CN,0.0022128837
SI.POV.GAPS,0.0021806308
PA.NUS.PPPC.RF,0.0021591855
RL.STD.ERR,0.0021272532
GC.TAX.YPKG.ZS,0.0020864333
IC.FRM.THEV.ZS,0.0020849202
ST.INT.RCPT.CD,0.0020727655
NY.ADJ.NNTY.PC.KD,0.0020331945
SH.MLR.INCD.P3,0.0020262813
SE.TER.CUAT.BA.ZS,0.0020194473
DT.NFL.UNTA.CD,0.0019946971
IC.TAX.GIFT.ZS,0.0019703284
SE.ADT.LITR.FE.ZS,0.0019583718
SH.STA.SMSS.RU.ZS,0.001956476
NY.GDP.PCAP.KD,0.0019551057
SL.TLF.CACT.FM.ZS,0.0018676592
SE.PRM.OENR.ZS,0.0018568926
EG.USE.CRNW.ZS,0.0018445763
DT.DOD.DECT.CD,0.0017992766
NV.IND.TOTL.ZS,0.0017915829
SH.STA.OWGH.FE.ZS,0.0017820867
SE.TER.CUAT.DO.MA.ZS,0.0017680952
NV.SRV.TOTL.ZS,0.001751099
EG.ELC.FOSL.ZS,0.0017048252
IC.PRP.PROC,0.0016832207
SH.STA.OWGH.ME.ZS,0.00165572
SH.UHC.FBPR.ZS,0.0015970522
SP.UWT.TFRT,0.0015794354
SL.UEM.TOTL.MA.NE.ZS,0.0015498903
EN.GHG.CO2.LU.FL.MT.CE.AR5,0.0015361975
VC.IHR.PSRC.MA.P5,0.0014969188
SE.PRM.ENRL.TC.ZS,0.0014917568
BM.GSR.NFSV.CD,0.001468847
