Indicator Name,Indicator Code,Category,Potential_Categories,Enhanced_Category
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Demographics,"['Demographics', 'Technology']",Demographics
"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,Agriculture,"['Agriculture', 'Demographics', 'Technology']",Agriculture
"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,Infrastructure,"['Infrastructure', 'Demographics', 'Technology']",Infrastructure
Access to electricity (% of population),EG.ELC.ACCS.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Agriculture,"['Agriculture', 'Infrastructure', 'Demographics']",Agriculture
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,Economic,"['Economic', 'Infrastructure', 'Demographics', 'Governance', 'Technology', 'Financial Services']",Financial Services
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Economic,"['Economic', 'Infrastructure', 'Demographics', 'Gender', 'Governance', 'Technology', 'Financial Services']",Financial Services
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,Economic,"['Economic', 'Infrastructure', 'Demographics', 'Governance', 'Technology', 'Financial Services']",Financial Services
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,Economic,"['Economic', 'Infrastructure', 'Demographics', 'Governance', 'Technology', 'Financial Services']",Financial Services
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,Economic,"['Economic', 'Poverty', 'Infrastructure', 'Demographics', 'Governance', 'Technology', 'Financial Services']",Financial Services
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Economic,"['Economic', 'Education', 'Infrastructure', 'Demographics', 'Governance', 'Technology', 'Financial Services']",Financial Services
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,Economic,"['Economic', 'Infrastructure', 'Demographics', 'Governance', 'Technology', 'Financial Services']",Financial Services
