Indicator Code,Indicator Name,Topic,Coarse_Topic
AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production),Environment: Agricultural production,Environment & Climate
AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),Environment: Agricultural production,Environment & Climate
AG.LND.AGRI.K2,Agricultural land (sq. km),Environment: Land use,Environment & Climate
AG.LND.AGRI.ZS,Agricultural land (% of land area),Environment: Land use,Environment & Climate
AG.LND.ARBL.HA,Arable land (hectares),Environment: Land use,Environment & Climate
AG.LND.ARBL.HA.PC,Arable land (hectares per person),Environment: Land use,Environment & Climate
AG.LND.ARBL.ZS,Arable land (% of land area),Environment: Land use,Environment & Climate
AG.LND.CREL.HA,Land under cereal production (hectares),Environment: Agricultural production,Environment & Climate
AG.LND.CROP.ZS,Permanent cropland (% of land area),Environment: Land use,Environment & Climate
AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),Environment: Land use,Environment & Climate
AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),Environment: Land use,Environment & Climate
AG.LND.EL5M.UR.K2,Urban land area where elevation is below 5 meters (sq. km),Environment: Land use,Environment & Climate
AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),Environment: Land use,Environment & Climate
AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area),Environment: Land use,Environment & Climate
AG.LND.FRST.K2,Forest area (sq. km),Environment: Land use,Environment & Climate
AG.LND.FRST.ZS,Forest area (% of land area),Environment: Land use,Environment & Climate
AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),Environment: Land use,Environment & Climate
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),Environment: Land use,Environment & Climate
AG.LND.TOTL.K2,Land area (sq. km),Environment: Land use,Environment & Climate
AG.LND.TOTL.RU.K2,Rural land area (sq. km),Environment: Land use,Environment & Climate
AG.LND.TOTL.UR.K2,Urban land area (sq. km),Environment: Land use,Environment & Climate
AG.PRD.CREL.MT,Cereal production (metric tons),Environment: Agricultural production,Environment & Climate
AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),Environment: Agricultural production,Environment & Climate
