Indicator Name,Indicator Code,Indicator Name and Definition
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,EG.CFT.ACCS.ZS - Access to clean fuels and technologies for cooking (% of population)
"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,"EG.CFT.ACCS.RU.ZS - Access to clean fuels and technologies for cooking, rural (% of rural population)"
"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,"EG.CFT.ACCS.UR.ZS - Access to clean fuels and technologies for cooking, urban (% of urban population)"
Access to electricity (% of population),EG.ELC.ACCS.ZS,EG.ELC.ACCS.ZS - Access to electricity (% of population)
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"EG.ELC.ACCS.RU.ZS - Access to electricity, rural (% of rural population)"
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,"EG.ELC.ACCS.UR.ZS - Access to electricity, urban (% of urban population)"
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,FX.OWN.TOTL.ZS - Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,"FX.OWN.TOTL.FE.ZS - Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)"
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,"FX.OWN.TOTL.MA.ZS - Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)"
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,"FX.OWN.TOTL.OL.ZS - Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)"
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,"FX.OWN.TOTL.40.ZS - Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)"
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,"FX.OWN.TOTL.PL.ZS - Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)"
